,Date,BTCLogRets,ActAddresses,Hashrate,BTCFees,Inflation,Velocity,VIX,SP500Lret,EURUSDLret,GoogleBitcoin,GoogleCrypto,WikiBitcoin,RealizedVariance,RealizedVolatility,DailyVolatility,WeeklyVolatility,MonthlyVolatility,SentimentFinBERT,IsNegativeFinBERT,IsPositiveFinBERT,SentimentGenAI,IsNegativeGenAI,IsPositiveGenAI,ECB,FED,MonetaryDecision,PressRelease,Speech,Statement,Covid,NegGenAICovidECB,NegFinBERTCovidECB,SentimentGenAIPositive,SentimentGenAINegative,SentimentFinBERTPositive,SentimentFinBERTNegative
0,2018-01-03,0.3969749739931652,-0.12091954286327027,-0.12922549757043755,0.3070134587929204,-0.9924546593027505,0.24797281830188622,-0.052300061453015564,0.68516150471952,0.2988535359184253,0.0005937211911292795,5.51890398402237,1.752575562127418,0.028029201927461358,0.34837605010271677,1.3558197159733083,1.1570882494776098,1.4474617583656924,-0.23270139515857016,1,1,-0.2354972191735736,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1
1,2018-01-04,0.07701366173519165,1.271816522680891,0.0896523594063035,-0.4975249341262472,0.7866357326534031,-0.29508268063523857,0.004269403347073716,0.20452798240728945,-0.9560076673671818,-0.9961244596111329,4.015136537898703,-1.497357727522636,0.06774094848697688,0.423281614657807,0.3466823015242846,1.0030631751217158,1.2525862033125466,-0.11865674744121688,1,1,0.5440067484366002,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
2,2018-01-05,2.8948891340194387,-1.9038236887535391,-0.22553175387410956,4.94826812270146,-1.7747240402744988,0.18350040157297395,-0.0014695686575197182,0.5245813384147686,1.4314924963953664,0.8549235904502113,-2.250561154283245,-2.0875571808323707,0.10661225584024414,0.49395083005911666,0.42162648758918436,0.9288559789186078,1.158697798392163,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2018-01-06,0.13146151263488137,0.9714147752388885,0.21222395825533907,-1.552675077489332,1.7825556460592453,0.19869110141105298,-0.757367186033568,-0.00725132849241794,-1.0773993408177702,-0.7113478365247726,-2.7518169696577948,0.18884211058327588,-0.031789668707406335,0.22961692385361324,0.49233214022732763,0.8226300559216432,1.0242986702525823,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2018-01-07,-1.2870108719031048,-0.34098284903138115,-0.0591845838121291,-1.5985104333850204,-0.4229368908950729,-0.28154695834674404,-0.0014695686575197182,-0.00725132849241794,-0.001410401617939652,-1.3663340696234023,-1.7044561343751745,-0.23226519935321982,-0.09338329410100744,0.09844198847688965,0.22786194275144753,0.7226136230654139,0.897755911232336,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2018-01-08,-2.0324308539615448,0.27890360722462265,0.028366559525777265,-0.14347787601555104,0.2883710223921479,0.1884519476385649,0.7790234308032539,0.21886806851326246,-0.8362230467477398,0.3613107771005198,0.005090014902258181,2.5334094388561965,1.328675806925921,2.0706005162384935,0.09661937322653347,0.9197852706744363,1.2046545820137402,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,2018-01-09,-0.9432139137616958,-0.12258207358886108,-0.024164126476966415,0.02890534845194696,-0.13837143667901922,-0.061020115306013735,0.04444173825984106,-0.0009779307632958984,1.189067201947916,0.24107175846405607,-1.6754360608534882,1.2771699024864267,0.29771754594812394,0.8108757120028074,2.069794751209856,0.8192805220777531,1.2152156305510138,1.1358343774496698,0,1,0.08929610066399915,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0
7,2018-01-10,0.46486445794844183,-0.2715283045573202,0.010856330858195923,0.15950272394073522,0.1460716784780413,-0.01829771054690103,-0.022785571676719296,0.11290832664312664,-0.35707536005399504,0.0005937211911292795,2.645916705375574,2.359890799583135,0.6341200860957789,1.2840542277379274,0.809420429489414,0.9914780151302374,1.3007884291488696,-0.23270139515857016,0,1,0.41408942050157127,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
8,2018-01-11,-2.6000283339047345,1.0751112568934411,0.22973418601090387,-1.9022810867338433,1.9231990022936718,0.017894533355276698,0.0034495390340509155,0.6437536824922026,0.5315004898123011,1.0827448889193,2.885991859054968,-3.4677386023971852,2.5188254349300823,3.120208489741713,1.2828429173352263,1.487806836230935,1.6428726154351496,-0.23270139515857016,1,1,1.0636760601767166,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
9,2018-01-12,1.0628648819056203,-0.718552870463074,-0.13798061144821996,0.5830944401486506,-1.0628173304275057,0.13245228650213317,0.021486084801160602,0.7047150150228958,-0.5343212930481805,-1.6827525397193588,-7.437239749158907,-3.5586293182068847,0.5622731141401087,1.1898556379355558,3.1199439053968545,1.6158776475245775,1.66575057694193,-1.4871925200494565,1,1,-0.9933482987945762,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1
10,2018-01-13,0.7442138305772568,-2.208252684537035,-0.11661716469649222,0.09052039566342404,-2.057387483329679,0.10380302529901665,-0.8344326331667056,-0.00725132849241794,-0.001410401617939652,-0.7208403906276512,-1.6754360608534882,-3.0640421763333268,-0.027335748220685463,0.2387303747818508,1.1885957584875282,1.6175548410729677,1.5658587754486195,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2018-01-14,-0.9746203142848695,0.3364932585079765,0.11044577937648216,0.10582421222739195,0.4305024183875439,-0.1763189173331366,-0.0014695686575197182,-0.00725132849241794,-0.001410401617939652,1.2346257545653592,-0.23234695027516442,-2.3522616356417867,0.23544410117440714,0.7124746343133882,0.23698009259940506,1.730558312557856,1.5353916392107854,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2018-01-15,-0.1783866904923577,-0.22906665024906284,-0.05715540528089973,-1.9757371826709051,-0.35124235730870446,-0.22215305800558727,-0.0014695686575197182,-0.00725132849241794,-0.3031207694088174,-0.32215311830674664,-1.4037026451504393,1.8900920347485861,-0.018608646654985784,0.2564544822430806,0.7109686159406522,1.3966920254604585,1.4594352567691438,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,2018-01-16,-4.213160693297392,0.5405818129214974,0.0842488161865506,-1.5844910170101418,0.6435278490084898,-0.1403580244483528,0.9544703280887284,-1.003089468618486,-0.30753899575967714,6.132783671650764,14.327815392104691,3.006749400410604,6.182450281400493,5.421849451018623,0.2547133386579372,2.2452723785858275,1.9191698000723285,-0.23270139515857016,0,1,0.7388827403391439,0,1,0,1,0,1,0,1,0,0,0,1,0,0,1
14,2018-01-17,-0.6017396207736775,0.916540935016593,0.0741485152394578,0.6684172187005107,0.5722604787102785,0.3115401676777968,0.019026570048657352,0.7673168398153053,0.5453186496169649,5.487289992655011,-0.46450753844864157,4.483723532318215,5.950191542923482,5.298922154140463,5.422771598921121,2.9841484242051126,2.313032000457002,-3.882130122113876,1,0,-1.8594638183614365,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1
15,2018-01-18,0.16723916726618676,-0.4089091043912344,0.05394791152123842,-0.10920648817446252,0.42999162533314955,0.08085317043032757,0.02394567774022813,-0.19945148147065309,1.0857710935608165,-6.131596229268506,-9.621659828791183,-5.4581862586842655,2.4528322401766163,3.0682534404747592,5.299780920399279,2.974586878954802,2.461143127756442,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,2018-01-19,0.39510119776478203,-0.2344466409821859,-0.08745631085822796,-0.41560871223048557,-0.5644281400428505,-0.13060940711115662,-0.07935488010367973,0.3306633958875202,-0.7244329817445626,-3.8723683527833774,-4.2212879652558355,-3.6433229397568314,1.2109614078133881,1.9497427126288178,3.0679620679672746,3.114432663961645,2.4977123119540114,2.048191559188496,0,1,0.7388827403391439,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0
17,2018-01-20,2.6408249320349526,-0.5972500851617367,0.12465002271097193,-0.18541598952681052,0.9269857107156787,0.4358562865711788,-0.9254355390615329,-0.00725132849241794,-0.3044594059723622,-0.9676467973024969,-0.46450753844864157,-2.141855530536866,0.4611608059597979,1.0515256874285521,1.9488746329927757,3.264015414257594,2.4574238179647856,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,2018-01-21,-2.7179511915683263,0.1914503605474263,0.0842488161865506,-3.0060087773828337,0.6426178599925357,-0.27010043755344504,-0.0014695686575197182,-0.00725132849241794,-0.001410401617939652,-1.113199293546637,-2.8678972637445375,-1.150910648429822,1.00649256682103,1.7292570806365115,1.0501944846873594,3.4511389278989277,2.4735743661790996,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2018-01-22,-1.5177266239492875,-0.4317714834375578,-0.20865992860745922,-2.909651327630478,-1.4163379257873019,-0.385513023024746,0.9028200491667745,1.0322526398904668,-0.18352871709110952,0.5068632733446594,0.1581049480165967,1.9042568216280198,1.5728094764498644,2.3092214130319566,1.7282753180177777,3.828919801442722,2.531224461811466,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,2018-01-23,0.23180367245282057,-0.5482105918957071,0.09434911713364338,-1.0835438850970152,0.7136422011587927,0.23556389969389788,0.004269403347073716,0.16985971894916352,-0.24419836950815302,0.3802958853062767,-0.6069697175550941,-1.4823076414632377,1.4980489474953298,2.2377443768577203,2.3085386815771396,3.2429331614935566,2.5787962309641648,-0.8029246337453367,1,1,0.08929610066399843,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1
21,2018-01-24,0.8066851854767785,0.48373565363965004,-0.016754198756478034,0.37562155665202185,-0.06732390239334021,-0.011435585937690803,0.028864707245234485,-0.3487992365937406,0.6671691257690023,-0.5056758309624008,0.3111198811309343,0.7161853221155238,0.7797513649625208,1.4659924054145723,2.237024791651514,2.537540100553509,2.569991676936517,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,2018-01-25,-0.2264332319191118,-0.8885130767518891,-0.013239502076113217,-1.2115307137712368,-1.2736721300628582,0.10823099115156593,0.007548704226035198,-0.31009261146632705,-2.209429002328696,-0.25254105488563605,-0.45395478444075643,0.8389468084039485,0.15403854032691952,0.5770022778977542,1.464874902823822,2.0790628003304112,2.5039324408679757,-0.004612099723863552,1,1,-0.3437616591194314,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0
