Date,EURUSDLret,SP500Lret,VIX
2018-01-01,0.0,,
2018-01-02,6.0045214560904646e-05,0.004491126877798392,9.770000457763672
2018-01-03,0.00012066471150454927,0.005621975068714537,9.149999618530273
2018-01-04,-7.205642080411225e-05,0.0017195204202451362,9.220000267028809
2018-01-05,0.00021722857811818852,0.004318160858184181,9.220000267028809
2018-01-08,-0.00016853813017028935,0.0018359532803887775,9.520000457763672
2018-01-09,7.180426340158572e-05,5.093621021674358e-05,10.079999923706055
2018-01-10,0.0,0.0009756240107563011,9.819999694824219
2018-01-11,0.00010758797882734753,0.005285768497943924,9.880000114440918
2018-01-12,0.0,0.005780737792567433,10.15999984741211
2018-01-15,-6.091151294495731e-05,,
2018-01-16,-0.00012271500999229876,-0.008085605765412198,11.65999984741211
2018-01-17,-1.2337319210418375e-05,0.006289026896058407,11.90999984741211
2018-01-18,0.00020715089460869964,-0.0015605494531844137,12.220000267028809
2018-01-19,6.118176676144355e-05,0.0027436639887263078,11.270000457763672
2018-01-22,-3.6767387914712575e-05,0.008440145984829875,11.029999732971191
2018-01-23,-8.578321245301585e-05,0.0014380350065027734,11.100000381469727
2018-01-24,4.919455060943885e-05,-0.0027731632517699976,11.470000267028809
2018-01-25,-0.0003965765197209428,-0.002458888774142294,11.579999923706055
2018-01-26,0.0,0.008877185145308634,11.079999923706055
2018-01-29,-1.2373522101649105e-05,-0.004789565490650633,13.84000015258789
2018-01-30,-4.948821579715614e-05,-0.0036462458808340977,14.789999961853027
2018-01-31,9.923740434032445e-05,-0.003040850669496096,13.539999961853027
2018-02-01,9.945274121448978e-05,0.0019615499836188924,13.470000267028809
2018-02-02,-0.00021266719037034038,-0.016797961221809946,17.309999465942383
2018-02-05,-1.2450534266929843e-05,-0.03418519042151969,37.31999969482422
2018-02-06,-3.7108181582442744e-05,0.03027013604305746,29.979999542236328
2018-02-07,-1.232398959906594e-05,-0.0034582999911971415,27.729999542236328
2018-02-08,-2.4486507255497384e-05,-0.03950753524929223,33.459999084472656
2018-02-09,0.0,0.006806728505837707,29.059999465942383
2018-02-12,-4.9033700463567225e-05,0.007274133439600752,25.610000610351562
2018-02-13,0.00020910733241577355,0.006279644910512907,24.969999313354492
2018-02-14,6.175956674538127e-05,0.017728068577266838,19.260000228881836
2018-02-15,1.2526006403723717e-05,0.006516496272561343,19.1299991607666
2018-02-16,-0.0003000853187570501,0.0018610532071400509,19.459999084472656
2018-02-19,0.0,,
2018-02-20,-3.720822013659589e-05,-0.002474599955171666,20.600000381469727
2018-02-21,-1.2273278362459787e-05,-0.00708245179661448,20.020000457763672
2018-02-22,0.00012279020716455966,-0.002386224883590075,18.719999313354492
2018-02-23,4.9322569031210504e-05,0.011532041708773977,16.489999771118164
2018-02-26,-9.827609858004318e-05,0.00802969820961296,15.800000190734863
2018-02-27,-3.697522166923135e-05,-0.013094011395525528,18.59000015258789
2018-02-28,0.0006723810859875655,-0.014613573882879989,19.850000381469727
2018-03-01,2.434816705596274e-05,-0.013925986409481585,22.469999313354492
2018-03-02,-3.6721425634776166e-05,0.012097067627984463,19.59000015258789
2018-03-05,-0.00024641417178444526,0.014765126739802854,18.729999542236328
2018-03-06,-9.865543091409532e-05,-0.0007547458118748493,18.360000610351562
2018-03-07,-0.00021109839063312654,0.006113750286367712,17.760000228881836
2018-03-08,-0.00012405412347519168,0.0022734984303196537,16.540000915527344
2018-03-09,-9.841089656782801e-05,0.012152971272844407,14.640000343322754
2018-03-12,1.2299924655897035e-05,-0.002698463465148525,15.779999732971191
2018-03-13,7.390724875515507e-05,-0.009716465628156073,16.350000381469727
2018-03-14,-4.9539677804984626e-05,-0.008900176410919525,17.229999542236328
2018-03-15,2.46597294493603e-05,-0.0025228824211448865,16.59000015258789
2018-03-16,0.0001230983617026375,0.0005233695534365839,15.800000190734863
2018-03-19,0.0,-0.01043588370588102,19.020000457763672
2018-03-20,-9.865300013364278e-05,0.0006958380474847675,18.200000762939453
2018-03-21,0.0003062456473094567,-0.0011277332122502943,17.860000610351562
2018-03-22,-8.640316795107356e-05,-0.017871035619107408,23.34000015258789
2018-03-23,-8.627198913447713e-05,-0.022331505449902873,24.8700008392334
2018-03-26,3.70534516346543e-05,0.014854647077348687,21.030000686645508
2018-03-27,0.00019925241173770084,-0.020814377170190686,22.5
2018-03-28,-1.2393667258969982e-05,-0.0024155251164332757,22.8700008392334
2018-03-29,-0.00020934029609893142,0.01007003567130907,19.969999313354492
2018-03-30,2.4611809270600123e-05,,
2018-04-02,0.00011075253161689959,-0.01977698472376778,23.6200008392334
2018-04-03,-4.916540275240132e-05,0.00855839905117441,21.100000381469727
2018-04-04,-7.368679146235678e-05,0.023199753224328868,20.059999465942383
2018-04-05,-8.605486706456938e-05,0.002060066240216413,18.940000534057617
2018-04-06,4.894360389079886e-05,-0.01575187364221607,21.489999771118164
2018-04-09,0.0,-0.0015371927801783893,21.770000457763672
2018-04-10,1.2286298817966926e-05,0.006972352646446735,20.469999313354492
2018-04-11,-6.180563575838093e-05,-0.000643180308987843,20.239999771118164
2018-04-12,-0.0003711941265047885,0.003821086212240118,18.489999771118164
2018-04-13,-0.00030827995834268023,-0.007725176686132157,17.40999984741211
2018-04-16,-3.692421662605873e-05,0.0028945707580811768,16.559999465942383
2018-04-17,3.715394970483995e-05,0.005056344900691204,15.25
2018-04-18,1.2332229887969787e-05,-0.0005426398633730983,15.600000381469727
2018-04-19,4.9498633741828586e-05,-0.0029772353854263037,15.960000038146973
2018-04-20,0.00011105099347497856,-0.008361570420389527,16.8799991607666
