Date,"Bitcoin"
2018-11-15,11302
2018-11-16,9741
2018-11-17,9209
2018-11-18,9096
2018-11-19,12711
2018-11-20,13398
2018-11-21,12924
2018-11-22,11126
2018-11-23,10881
2018-11-24,9525
2018-11-25,10776
2018-11-26,13317
2018-11-27,13557
2018-11-28,12004
2018-11-29,12139
2018-11-30,13904
2018-12-01,9536
2018-12-02,9852
2018-12-03,11454
2018-12-04,12522
2018-12-05,11530
2018-12-06,11346
2018-12-07,11338
2018-12-08,9620
2018-12-09,9739
2018-12-10,10642
2018-12-11,10253
2018-12-12,10443
2018-12-13,12133
2018-12-14,12899
2018-12-15,8117
2018-12-16,8681
2018-12-17,11485
2018-12-18,9942
2018-12-19,9503
2018-12-20,8891
2018-12-21,8657
2018-12-22,8439
2018-12-23,8644
2018-12-24,8932
2018-12-25,8628
2018-12-26,10158
2018-12-27,11005
2018-12-28,10357
2018-12-29,11028
2018-12-30,8590
2018-12-31,9274
2019-01-01,9185
2019-01-02,10582
2019-01-03,19383
2019-01-04,11683
2019-01-05,9746
2019-01-06,10195
2019-01-07,11036
2019-01-08,10505
2019-01-09,10967
2019-01-10,10846
2019-01-11,10687
2019-01-12,9350
2019-01-13,9853
2019-01-14,9565
2019-01-15,8308
2019-01-16,8099
2019-01-17,7906
2019-01-18,8506
2019-01-19,6539
2019-01-20,6521
2019-01-21,7453
2019-01-22,7464
2019-01-23,7664
2019-01-24,8975
2019-01-25,7981
2019-01-26,7659
2019-01-27,7671
2019-01-28,8200
2019-01-29,8277
2019-01-30,8699
2019-01-31,8288
2019-02-01,8423
2019-02-02,7523
2019-02-03,7115
2019-02-04,8795
2019-02-05,13112
2019-02-06,11068
2019-02-07,10044
2019-02-08,8619
2019-02-09,7622
2019-02-10,7550
2019-02-11,8698
2019-02-12,8768
2019-02-13,8609
2019-02-14,7843
2019-02-15,7745
2019-02-16,7736
2019-02-17,9614
2019-02-18,8708
2019-02-19,9364
2019-02-20,9447
2019-02-21,9252
2019-02-22,9179
